Table ZZ output with n=1000

{3, 3}
{7, 7}
{13, 9}
{31, 19}
{43, 29}
{73, 73}
{157, 105}
{211, 121}
{241, 129}
{307, 127}
{421, 295}
{463, 243}
{601, 501}
{757, 337}
{1123, 579}
{1483, 1093}
{1723, 757}
{2551, 1837}
{2971, 1651}
{3307, 1335}
{3541, 1621}
{3907, 2773}
{4423, 2949}
{4831, 1821}
{5113, 2017}
{5701, 2053}
{6007, 2419}
{6163, 4267}
{6481, 3889}
{8011, 2791}
{8191, 5643}
{9901, 4401}
{10303, 2551}
{11131, 4029}
{12211, 7993}
{12433, 5041}
{13807, 5075}
{14281, 4921}
{17293, 7129}
{19183, 11955}
{20023, 8805}
{20593, 8641}
{21757, 8881}
{22651, 14799}
{23563, 10011}
{24181, 9985}
{26083, 10531}
{26407, 17605}
{27061, 18481}
{28057, 10921}
{28393, 18591}
{30103, 13225}
{31153, 18763}
{35533, 23815}
{35911, 15201}
{37057, 23161}
{37831, 22231}
{41413, 16117}
{42643, 26911}
{43891, 15541}
{46441, 17281}
{47743, 28909}
{53593, 23201}
{55933, 37447}
{60271, 23863}
{60763, 40015}
{71023, 44323}
{74257, 44227}
{77563, 48547}
{78121, 31921}
{82657, 33121}
{83233, 53177}
{84391, 54709}
{86143, 33517}
{95791, 37201}
{98911, 57331}
{108571, 45871}
{110557, 71263}
{113233, 72119}
{117307, 67229}
{118681, 76591}
{121453, 78875}
{123553, 52449}
{127807, 50479}
{136531, 51801}
{143263, 93235}
{145543, 56155}
{147073, 58753}
{154057, 98251}
{156421, 61381}
{158803, 101347}
{162007, 103169}
{163621, 110161}
{164431, 67397}
{171811, 105411}
{173473, 113425}
{181903, 113583}
{188791, 120061}
{189661, 74557}
{200257, 77953}
{205663, 85807}
{207481, 76609}
{208393, 140757}
{227053, 138331}
{239611, 94571}
{245521, 96225}
{250501, 161323}
{262657, 167239}
{268843, 162967}
{276151, 110987}
{281431, 180541}
{282493, 105869}
{284623, 112675}
{288907, 105449}
{292141, 187187}
{304153, 109849}
{307471, 182041}
{314161, 197473}
{320923, 200719}
{322057, 127801}
{327757, 198259}
{335821, 134561}
{339307, 216877}
{341641, 210601}
{364213, 144357}
{366631, 153925}
{371491, 151281}
{375157, 223133}
{386263, 150525}
{390001, 232501}
{392503, 243277}
{403861, 155821}
{412807, 271347}
{415381, 263161}
{446893, 268939}
{450913, 184129}
{459007, 189841}
{471283, 299533}
{485113, 298317}
{492103, 186733}
{519121, 318683}
{527803, 344599}
{530713, 354295}
{540961, 222273}
{552793, 211297}
{558757, 216921}
{570781, 222265}
{579883, 226315}
{581407, 350981}
{590593, 366045}
{598303, 241489}
{612307, 394633}
{617011, 240517}
{628057, 409189}
{637603, 396305}
{642403, 254235}
{660157, 416257}
{669943, 437347}
{671581, 237801}
{681451, 272581}
{684757, 284005}
{699733, 472069}
{704761, 272161}
{716563, 452299}
{731881, 282481}
{735307, 289147}
{740461, 502825}
{747361, 472291}
{766501, 304849}
{771763, 488725}
{792991, 474013}
{800131, 504781}
{805507, 330465}
{809101, 327601}
{830833, 317377}
{838141, 336173}
{843643, 556915}
{847321, 530497}
{860257, 351713}
{903451, 557287}
{920641, 366721}
{922561, 584289}
{939931, 388971}
{949651, 575251}
{963343, 376107}
{975157, 402117}
{981091, 626313}
{985057, 629563}
{987043, 409529}
